!Gene Symbol	EGF_Baseline	EGF_Stimulus
CG2254	-1.25	-0.27
CG14448	-1.05	0.78
CG6885	2.08	1.34
CG8586	1.15	0.45
CG31156	-1.77	-0.76
rho	-0.77	-0.42
CG42538	-0.92	0.97
CG10185	0.04	0.22
dock	-0.77	-0.59
IM2	-2.18	-2.13
RPA2	-1.63	0.25
Tgt	0.57	-0.42
CG32568	0.69	0.39
CG8184	-0.45	1.63
Fili	-1.19	-1.37
ema	-0.17	0.38
Kdm4A	-1.14	0.46
CG13154	1.12	0.93
CLIP-190	0.06	-1.13
Mnn1	0.65	0.06
Patj	1.14	0.13
ppk26	-1.26	-1.06
CG7568	-1.24	1.01
CG31717	7.19	-0.27
Traf-like	0.70	-0.58
CG9016	1.32	-0.60
CG5789	-0.99	-0.96
CheB38a	-0.52	-0.71
CG32816	-0.83	0.61
CG17883	-0.55	-1.30
cid	-0.87	-0.11
CG6978	-1.32	0.50
CHKov2	-1.79	0.40
RpL41	-0.97	-1.64
ade3	-0.76	1.49
CG1440	-0.80	-0.86
CG32712	-0.73	-0.92
CG17475	-0.55	0.09
CG6426	-1.68	0.31
faf	0.76	-0.71
CG9812	-0.80	0.42
CG17337	-0.60	0.56
CG31140	-1.63	0.76
CG13856	-0.63	0.68
RpS15	4.47	-2.91
shd	0.59	0.56
CG10904	0.60	-1.15
RagC-D	-1.66	0.73
CG30428	-1.18	-1.11
CG12343	1.66	2.11
Gfat1	0.18	-0.80
CG14052	-0.57	0.96
CG42750	0.38	-0.62
Rpn12R	-1.10	-0.82
Dic1	-0.04	-1.76
Ir51a	-0.42	0.26
RpS30	4.94	-4.02
CG6495	-1.34	-0.52
CG33253	-1.81	1.47
MED1	-1.46	0.99
CG5768	-0.35	1.71
lok	1.29	1.44
Claspin	-1.49	1.50
CG12375	0.97	-0.72
CG13443	-1.80	0.80
CG33217	-2.01	-0.94
beat-Vb	2.27	2.75
CG33627	-0.24	-0.57
CG4825	-0.90	-0.77
CG6723	1.46	0.66
CG13872	0.76	-0.40
CG12693	0.48	1.28
Cyp6a8	0.82	-0.46
CG14898	0.19	0.86
CG33178	0.31	0.58
Pol32	0.79	0.21
CG5516	-1.80	-1.61
CG18641	-0.48	-1.15
karr	0.95	-0.52
Hex-C	1.42	-0.27
CG32450	-0.36	-1.15
Vha100-1	-1.32	-1.93
CanB2	2.86	1.12
CG5104	-0.78	-0.34
Osi21	-0.24	-0.74
Lnk	-1.19	-1.28
CG5776	0.92	1.25
PGRP-SC1b	0.82	0.61
CG31820	-1.26	-1.19
NetA	-1.52	0.34
stumps	-0.90	-1.65
DMAP1	0.50	-4.73
CG1657	1.12	0.54
Ir52b	0.17	-0.59
mfas	-0.90	0.83
CG10098	-0.17	-0.94
CR31054	-0.99	-1.12
CG1835	-0.44	0.36
CG31933	0.65	0.78
REG	-0.87	0.70
mei-38	-1.12	-0.58
Tango2	1.52	0.54
CG2930	-0.51	0.69
RpL27	2.76	-4.47
CG2200	0.68	0.80
bw	-1.04	0.57
CG34149	-1.97	0.39
CG5800	0.18	-0.28
Vps16A	-1.19	-0.87
Nap1	-0.42	1.06
mRpS16	0.60	-0.75
CG8360	1.20	0.50
CG32758	-0.69	-0.44
CG5604	-0.53	0.29
tra2	0.79	1.22
l(2)gl	-0.22	0.31
ATPsyn-beta	1.29	0.15
CG12984	0.89	-0.56
CG7457	0.41	0.91
Mio	-2.26	1.58
Vha36-3	-1.84	-0.42
Ser6	0.53	0.70
Obp99d	2.03	-1.18
CG8027	0.30	-0.73
Su(var)2-HP2	0.65	0.24
GstE9	-0.54	0.78
GC2	-0.35	1.98
CG11975	-1.41	0.24
CG1850	-0.57	1.54
CG42288	-0.82	-0.66
CG9548	1.51	1.85
CG30152	-0.12	0.98
CG6333	-1.33	-0.76
CG14079	-0.37	0.64
RpL26	2.35	-4.51
Obp19a	1.14	0.36
CG7556	-0.80	-4.21
CG10307	-0.83	-1.46
msl-1	-2.45	0.88
CG9777	-1.09	-0.63
corn	1.70	-1.31
CG32457	-2.30	-1.79
CG11597	1.31	1.00
CG3740	-1.23	-0.65
CG1024	-0.34	-1.44
TotF	-2.19	0.23
CG6153	1.49	-1.07
mRpL2	-1.23	0.39
CG33630	-0.84	1.17
CG12539	2.18	0.43
X11L	-0.50	-0.72
CG2789	-1.04	1.17
Lrch	0.56	-1.81
Or85b	-1.25	0.99
Cpr72Eb	-1.44	-1.68
