!GO Term	EGF_Baseline	EGF_Stumulus
GO:0055114	-1.25	-0.27
GO:0016788	-1.77	-0.76
GO:0016021	-0.77	-0.42
GO:0010951	-0.92	0.97
GO:0008150	0.04	0.22
GO:0050839	-0.77	-0.59
GO:0045087	-2.18	-2.13
GO:0022008	-1.63	0.25
GO:0008479	0.57	-0.42
GO:0050790	0.69	0.39
GO:0016874	-0.45	1.63
GO:0042981	-1.19	-1.37
GO:0005770	-0.17	0.38
GO:0070544	-1.14	0.46
GO:0008150	1.12	0.93
GO:0035371	0.06	-1.13
GO:0051568	0.65	0.06
GO:0005886	1.14	0.13
GO:0035725	-1.26	-1.06
GO:0016020	7.19	-0.27
GO:0005515	0.70	-0.58
GO:0043695	-0.52	-0.71
GO:0008150	-0.83	0.61
GO:0032851	-0.55	-1.30
GO:0051383	-0.87	-0.11
GO:0055085	-1.32	0.50
GO:0016772	-1.79	0.40
GO:0022625	-0.97	-1.64
GO:0046872	-0.76	1.49
GO:0006508	-0.80	-0.86
GO:0008150	-0.73	-0.92
GO:0006508	-0.55	0.09
GO:0032504	-1.68	0.31
GO:0050829	0.76	-0.71
GO:0034701	-0.60	0.56
GO:0046872	-1.63	0.76
GO:0015935	4.47	-2.91
GO:0055114	0.59	0.56
GO:0071230	-1.66	0.73
GO:0030246	0.18	-0.80
GO:0046872	0.38	-0.62
GO:0006511	-1.10	-0.82
GO:1902358	-0.04	-1.76
GO:0007052	4.94	-4.02
GO:0016020	-1.81	1.47
GO:0016592	-1.46	0.99
GO:0072332	1.29	1.44
GO:0046872	0.97	-0.72
GO:0008150	-1.80	0.80
GO:0008150	-2.01	-0.94
GO:0007157	2.27	2.75
GO:0008150	-0.24	-0.57
GO:0022008	-0.90	-0.77
GO:0055114	0.82	-0.46
GO:0005739	0.19	0.86
GO:0070182	0.79	0.21
GO:0008270	-1.80	-1.61
GO:0007275	0.95	-0.52
GO:0051156	1.42	-0.27
GO:0008150	-0.36	-1.15
GO:0048388	-1.32	-1.93
GO:0050790	2.86	1.12
GO:0016192	-0.78	-0.34
GO:0008150	-0.24	-0.74
GO:0060180	-1.19	-1.28
GO:0016887	0.92	1.25
GO:0005576	-1.52	0.34
GO:0048477	-0.90	-1.65
GO:0035267	0.50	-4.73
GO:0051223	1.12	0.54
GO:0034220	0.17	-0.59
GO:0035207	-0.90	0.83
GO:0008150	-0.17	-0.94
GO:0008152	0.65	0.78
GO:0005737	-0.87	0.70
GO:0072686	-1.12	-0.58
GO:0009306	1.52	0.54
GO:0016021	-0.51	0.69
GO:0051298	2.76	-4.47
GO:0016805	0.68	0.80
GO:0031409	-1.04	0.57
GO:0008150	-1.97	0.39
GO:0022008	0.18	-0.28
GO:0045746	-1.19	-0.87
GO:0016590	-0.42	1.06
GO:0006412	0.60	-0.75
GO:0009972	1.20	0.50
GO:0032266	-0.69	-0.44
GO:0046872	-0.53	0.29
GO:0071011	0.79	1.22
GO:0090163	-0.22	0.31
GO:0046933	1.29	0.15
GO:0008150	0.89	-0.56
GO:0008150	0.41	0.91
GO:0003677	-2.26	1.58
GO:0055085	-1.84	-0.42
GO:0006508	0.53	0.70
GO:0048102	2.03	-1.18
GO:0051276	0.65	0.24
GO:0006749	-0.54	0.78
GO:0055085	-0.35	1.98
GO:0071013	1.51	1.85
GO:0008150	-0.12	0.98
GO:0015934	2.35	-4.51
GO:0042048	1.14	0.36
GO:0012505	-0.80	-4.21
GO:0072487	-2.45	0.88
GO:0008150	-1.09	-0.63
GO:0045921	1.70	-1.31
GO:0008150	-2.30	-1.79
GO:0046331	1.31	1.00
GO:0046872	-0.34	-1.44
