State,Population,Fatal crashes,Deaths,Deaths per 100000 population
Alabama,4858979,783,849,17.5
Alaska,738432,60,65,8.8
Arizona,6828065,810,893,13.1
Arkansas,2978204,472,531,17.8
California,39144818,2925,3176,8.1
Colorado,5456574,506,546,10.0
Connecticut,3590886,253,266,7.4
Delaware,945934,122,126,13.3
District of Columbia,672228,23,23,3.4
Florida,20271272,2699,2939,14.5
Georgia,10214860,1327,1430,14.0
Hawaii,1431603,86,94,6.6
Idaho,1654930,198,216,13.1
Illinois,12859995,914,998,7.8
Indiana,6619680,756,821,12.4
Iowa,3123899,282,320,10.2
Kansas,2911641,322,355,12.2
Kentucky,4425092,694,761,17.2
Louisiana,4670724,674,726,15.5
Maine,1329328,144,156,11.7
Maryland,6006401,472,513,8.5
Massachusetts,6794422,291,306,4.5
Michigan,9922576,893,963,9.7
Minnesota,5489594,375,411,7.5
Mississippi,2992333,604,677,22.6
Missouri,6083672,802,869,14.3
Montana,1032949,204,224,21.7
Nebraska,1896190,218,246,13.0
Nevada,2890845,296,325,11.2
New Hampshire,1330608,103,114,8.6
New Jersey,8958013,522,562,6.3
New Mexico,2085109,269,298,14.3
New York,19795791,1046,1121,5.7
North Carolina,10042802,1275,1379,13.7
North Dakota,756928,111,131,17.3
Ohio,11613423,1029,1110,9.6
Oklahoma,3911338,588,643,16.4
Oregon,4028977,412,447,11.1
Pennsylvania,12802503,1102,1200,9.4
Rhode Island,1056298,41,45,4.3
South Carolina,4896146,909,977,20.0
South Dakota,858469,115,133,15.5
Tennessee,6600299,884,958,14.5
Texas,27469114,3124,3516,12.8
Utah,2995919,256,276,9.2
Vermont,626042,50,57,9.1
Virginia,8382993,711,753,9.0
Washington,7170351,516,568,7.9
West Virginia,1844128,246,268,14.5
Wisconsin,5771337,523,566,9.8
Wyoming,586107,129,145,24.7
U.S. total,321418821,32166,35092,10.9
