target_id	length	eff_length
TRINITY_DN5150_c0_g1_i1	1294	1190.711280
TRINITY_DN3684_c0_g1_i1	1372	1365.691167
TRINITY_DN39_c0_g1_i1	2550	2259.104822
TRINITY_DN39_c0_g2_i1	1846	1717.228212
TRINITY_DN453_c0_g1_i1	2531	1852.190133
TRINITY_DN453_c0_g2_i1	2532	1847.033289
TRINITY_DN6014_c0_g1_i1	1189	694.620413
TRINITY_DN8475_c0_g1_i1	554	263.323450
TRINITY_DN833_c0_g1_i1	741	535.623918
TRINITY_DN833_c0_g2_i1	468	221.635762
TRINITY_DN231_c0_g1_i1	1647	1329.601765
TRINITY_DN2371_c0_g1_i1	238	0.000000
TRINITY_DN2060_c0_g1_i1	404	134.475273
TRINITY_DN503_c0_g1_i1	2038	1485.578946
TRINITY_DN503_c0_g2_i1	2598	1959.458133
TRINITY_DN7326_c0_g1_i1	2368	1694.876173
TRINITY_DN2215_c0_g1_i1	1519	1173.727836
TRINITY_DN5498_c0_g1_i1	1843	1614.745231
TRINITY_DN4161_c0_g1_i1	203	0.000000
TRINITY_DN7745_c0_g1_i1	555	249.321266
TRINITY_DN6857_c0_g1_i1	227	148.529478
TRINITY_DN4098_c0_g1_i1	212	0.000000
TRINITY_DN2076_c0_g1_i1	377	108.513654
TRINITY_DN7959_c0_g1_i1	1078	707.650809
TRINITY_DN8889_c0_g1_i1	314	45.479442
TRINITY_DN3025_c0_g1_i1	265	25.164634
TRINITY_DN70_c0_g1_i1	1413	984.324995
TRINITY_DN70_c0_g2_i1	1412	986.178418
TRINITY_DN1776_c0_g1_i1	403	148.173024
TRINITY_DN6632_c0_g1_i1	454	178.575021
TRINITY_DN7337_c0_g1_i1	440	174.909072
TRINITY_DN6942_c0_g1_i1	1725	1302.225145
TRINITY_DN7651_c0_g1_i1	506	237.160603
TRINITY_DN1515_c0_g1_i1	2455	2029.271081
TRINITY_DN2674_c0_g1_i1	464	137.062366
TRINITY_DN5914_c0_g1_i1	216	0.000000
TRINITY_DN5041_c0_g1_i1	2480	1621.320601
TRINITY_DN5041_c0_g2_i1	2497	1631.249029
TRINITY_DN5041_c0_g3_i1	2491	1633.452976
TRINITY_DN5041_c0_g4_i1	2492	1633.159549
TRINITY_DN1828_c0_g1_i1	1413	1010.998886
TRINITY_DN230_c0_g1_i1	1870	1610.372760
TRINITY_DN230_c0_g2_i1	1836	1591.498014
TRINITY_DN5495_c0_g1_i1	2272	1943.466025
TRINITY_DN2126_c0_g1_i1	512	236.494979
TRINITY_DN604_c0_g1_i1	204	0.000000
TRINITY_DN3000_c0_g1_i1	543	238.971852
TRINITY_DN8196_c0_g1_i1	588	407.352539
