Array Design Name	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Comment[AdditionalFile:CDF]	Yeast_2.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-47
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	The MGED Ontology
Term Source Name	The MGED Ontology	affymetrix_netaffx	cp450	ec	embl	genbank	go	interpro	pkr_hanks	scop	sgd
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://godatabase.org	http://www.ebi.ac.uk/interpro	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/
Term Source Version										
Comment[AdditionalFile:txt]	A-AFFY-47_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[interpro]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[go]	Composite Element Database Entry[genbank]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
AFFX-BioB-5_at	AFFX-BioB-5	IPR007197	AFFX-BioB-5_at							
AFFX-BioB-M_at	AFFX-BioB-M	IPR007197	AFFX-BioB-M_at							
AFFX-BioB-3_at	AFFX-BioB-3	IPR007197	AFFX-BioB-3_at							
AFFX-BioC-5_at	AFFX-BioC-5		AFFX-BioC-5_at							
AFFX-BioC-3_at	AFFX-BioC-3		AFFX-BioC-3_at							
AFFX-BioDn-5_at	AFFX-BioDn-5	IPR002586	AFFX-BioDn-5_at							
AFFX-BioDn-3_at	AFFX-BioDn-3	IPR002586	AFFX-BioDn-3_at							
AFFX-CreX-5_at	AFFX-CreX-5		AFFX-CreX-5_at							
AFFX-CreX-3_at	AFFX-CreX-3		AFFX-CreX-3_at							
AFFX-DapX-5_at	AFFX-DapX-5	IPR004518	AFFX-DapX-5_at	a.4.1.Tetracyclin repressor-like, N-terminal domain						
AFFX-DapX-M_at	AFFX-DapX-M	IPR003737	AFFX-DapX-M_at	a.4.5.Biotin repressor-like						
AFFX-DapX-3_at	AFFX-DapX-3	IPR001296	AFFX-DapX-3_at	a.4.1.Tetracyclin repressor-like, N-terminal domain						
AFFX-LysX-5_at	AFFX-LysX-5	IPR000183	AFFX-LysX-5_at							
AFFX-LysX-M_at	AFFX-LysX-M	IPR004995	AFFX-LysX-M_at							
AFFX-LysX-3_at	AFFX-LysX-3	IPR000183	AFFX-LysX-3_at							
AFFX-PheX-5_at	AFFX-PheX-5	IPR006169	AFFX-PheX-5_at							
AFFX-PheX-M_at	AFFX-PheX-M	IPR006169	AFFX-PheX-M_at							
AFFX-PheX-3_at	AFFX-PheX-3	IPR001086	AFFX-PheX-3_at							
AFFX-ThrX-5_at	AFFX-ThrX-5	IPR001926	AFFX-ThrX-5_at		(Q9ZHW3) 1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (ACC deaminase)					
AFFX-ThrX-M_at	AFFX-ThrX-M	IPR002925	AFFX-ThrX-M_at		(Q9ZHW3) 1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (ACC deaminase)					
AFFX-ThrX-3_at	AFFX-ThrX-3	IPR002925	AFFX-ThrX-3_at		(Q9ZHW3) 1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (ACC deaminase)					
AFFX-TrpnX-5_at	AFFX-TrpnX-5	IPR001240	AFFX-TrpnX-5_at							
AFFX-TrpnX-M_at	AFFX-TrpnX-M	IPR001240	AFFX-TrpnX-M_at							
AFFX-TrpnX-3_at	AFFX-TrpnX-3	IPR001240	AFFX-TrpnX-3_at							
AFFX-r2-Ec-bioB-5_at	AFFX-r2-Ec-bioB-5	IPR010722	AFFX-r2-Ec-bioB-5_at							
AFFX-r2-Ec-bioB-M_at	AFFX-r2-Ec-bioB-M	IPR010722	AFFX-r2-Ec-bioB-M_at							
AFFX-r2-Ec-bioB-3_at	AFFX-r2-Ec-bioB-3	IPR010722	AFFX-r2-Ec-bioB-3_at							
AFFX-r2-Ec-bioC-5_at	AFFX-r2-Ec-bioC-5		AFFX-r2-Ec-bioC-5_at							
AFFX-r2-Ec-bioC-3_at	AFFX-r2-Ec-bioC-3		AFFX-r2-Ec-bioC-3_at							
AFFX-r2-Ec-bioD-5_at	AFFX-r2-Ec-bioD-5	IPR002586	AFFX-r2-Ec-bioD-5_at							
AFFX-r2-Ec-bioD-3_at	AFFX-r2-Ec-bioD-3	IPR002586	AFFX-r2-Ec-bioD-3_at							
AFFX-r2-P1-cre-5_at	AFFX-r2-P1-cre-5		AFFX-r2-P1-cre-5_at							
AFFX-r2-P1-cre-3_at	AFFX-r2-P1-cre-3		AFFX-r2-P1-cre-3_at							
AFFX-r2-Bs-dap-5_at	AFFX-r2-Bs-dap-5	IPR001296	AFFX-r2-Bs-dap-5_at	a.4.5.Biotin repressor-like						
AFFX-r2-Bs-dap-M_at	AFFX-r2-Bs-dap-M	IPR004518	AFFX-r2-Bs-dap-M_at	a.4.5.Biotin repressor-like						
AFFX-r2-Bs-dap-3_at	AFFX-r2-Bs-dap-3	IPR004518	AFFX-r2-Bs-dap-3_at	a.4.5.Biotin repressor-like						
AFFX-r2-Bs-lys-5_at	AFFX-r2-Bs-lys-5	IPR000183	AFFX-r2-Bs-lys-5_at							
AFFX-r2-Bs-lys-M_at	AFFX-r2-Bs-lys-M	IPR000183	AFFX-r2-Bs-lys-M_at							
AFFX-r2-Bs-lys-3_at	AFFX-r2-Bs-lys-3	IPR000183	AFFX-r2-Bs-lys-3_at							
AFFX-r2-Bs-phe-5_at	AFFX-r2-Bs-phe-5	IPR002912	AFFX-r2-Bs-phe-5_at							
AFFX-r2-Bs-phe-M_at	AFFX-r2-Bs-phe-M	IPR002912	AFFX-r2-Bs-phe-M_at							
AFFX-r2-Bs-phe-3_at	AFFX-r2-Bs-phe-3	IPR002912	AFFX-r2-Bs-phe-3_at							
AFFX-r2-Bs-thr-5_s_at	AFFX-r2-Bs-thr-5	IPR002925	AFFX-r2-Bs-thr-5_s_at		(Q9ZHW3) 1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (ACC deaminase)					
AFFX-r2-Bs-thr-M_s_at	AFFX-r2-Bs-thr-M	IPR001926	AFFX-r2-Bs-thr-M_s_at		(Q9ZHW3) 1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (ACC deaminase)					
AFFX-r2-Bs-thr-3_s_at	AFFX-r2-Bs-thr-3	IPR002925	AFFX-r2-Bs-thr-3_s_at		(Q9ZHW3) 1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (ACC deaminase)					
AFFX-r2-TagA_at	AFFX-r2-TagA		AFFX-r2-TagA_at							
AFFX-r2-TagB_at	AFFX-r2-TagB		AFFX-r2-TagB_at							
AFFX-r2-TagC_at	AFFX-r2-TagC		AFFX-r2-TagC_at							
AFFX-r2-TagD_at	AFFX-r2-TagD		AFFX-r2-TagD_at							
AFFX-r2-TagE_at	AFFX-r2-TagE		AFFX-r2-TagE_at							
AFFX-r2-TagF_at	AFFX-r2-TagF		AFFX-r2-TagF_at							
AFFX-r2-TagG_at	AFFX-r2-TagG		AFFX-r2-TagG_at							
AFFX-r2-TagH_at	AFFX-r2-TagH		AFFX-r2-TagH_at							
AFFX-r2-TagJ-3_at	AFFX-r2-TagJ-3		AFFX-r2-TagJ-3_at							
AFFX-r2-TagJ-5_at	AFFX-r2-TagJ-5		AFFX-r2-TagJ-5_at							
AFFX-r2-TagO-3_at	AFFX-r2-TagO-3		AFFX-r2-TagO-3_at							
AFFX-r2-TagO-5_at	AFFX-r2-TagO-5		AFFX-r2-TagO-5_at							
AFFX-r2-TagQ-3_at	AFFX-r2-TagQ-3		AFFX-r2-TagQ-3_at							
AFFX-r2-TagQ-5_at	AFFX-r2-TagQ-5		AFFX-r2-TagQ-5_at							
AFFX-r2-TagIN-3_at	AFFX-r2-TagIN-3		AFFX-r2-TagIN-3_at							
AFFX-r2-TagIN-M_at	AFFX-r2-TagIN-M		AFFX-r2-TagIN-M_at							
AFFX-r2-TagIN-5_at	AFFX-r2-TagIN-5		AFFX-r2-TagIN-5_at							
AFFX-YFL039C5_at	AFFX-YFL039C5	IPR004000	AFFX-YFL039C5_at			GO:0043189	P14235	S0001855		
AFFX-YFL039CM_at	AFFX-YFL039CM	IPR004000	AFFX-YFL039CM_at			GO:0005884	P14235	S0001855		
AFFX-YFL039C3_at	AFFX-YFL039C3	IPR004000	AFFX-YFL039C3_at			GO:0030482	P14235	S0001855		
AFFX-YER148w5_at	AFFX-YER148w5	IPR000814	AFFX-YER148w5_at			GO:0005634	AAA79367	S0000950		
AFFX-YER148wM_at	AFFX-YER148wM	IPR000814	AFFX-YER148wM_at			GO:0005669	NP_986800	S0000950		
AFFX-YER148w3_at	AFFX-YER148w3	IPR000814	AFFX-YER148w3_at			GO:0003677	AAA79367	S0000950		
AFFX-YER022w5_at	AFFX-YER022w5		AFFX-YER022w5_at			GO:0006366	EAL02475	S0000824		
AFFX-YER022wM_at	AFFX-YER022wM		AFFX-YER022wM_at			GO:0000119	EAL02475	S0000824		
AFFX-YER022w3_at	AFFX-YER022w3		AFFX-YER022w3_at			GO:0006366	EAL02475	S0000824		
AFFX-18srRnaa_at	AFFX-18srRnaa		AFFX-18srRnaa_at							
AFFX-18srRnab_at	AFFX-18srRnab		AFFX-18srRnab_at							
AFFX-18srRnac_at	AFFX-18srRnac		AFFX-18srRnac_at							
AFFX-18srRnad_at	AFFX-18srRnad		AFFX-18srRnad_at							
AFFX-18srRnae_at	AFFX-18srRnae		AFFX-18srRnae_at							
AFFX-25srRnaa_at	AFFX-25srRnaa		AFFX-25srRnaa_at							
AFFX-25srRnab_at	AFFX-25srRnab		AFFX-25srRnab_at							
AFFX-25srRnac_at	AFFX-25srRnac		AFFX-25srRnac_at							
AFFX-25srRnad_at	AFFX-25srRnad		AFFX-25srRnad_at							
AFFX-25srRnae_at	AFFX-25srRnae		AFFX-25srRnae_at							
AFFX-r2-Sc-18SrRNA-3_at	AFFX-r2-Sc-18SrRNA-3		AFFX-r2-Sc-18SrRNA-3_at							
AFFX-r2-Sc18SrRNA-M_at	AFFX-r2-Sc18SrRNA-M		AFFX-r2-Sc18SrRNA-M_at							
AFFX-r2-Sc-18SrRNA-5_at	AFFX-r2-Sc-18SrRNA-5		AFFX-r2-Sc-18SrRNA-5_at							
AFFX-r2-Sc-25SrRNA-3_at	AFFX-r2-Sc-25SrRNA-3		AFFX-r2-Sc-25SrRNA-3_at							
AFFX-r2-Sc-25SrRNA-M_at	AFFX-r2-Sc-25SrRNA-M		AFFX-r2-Sc-25SrRNA-M_at							
AFFX-r2-Sc-25SrRNA-5_at	AFFX-r2-Sc-25SrRNA-5		AFFX-r2-Sc-25SrRNA-5_at							
AFFX-r2-Sc-5.8SrRNA_at	AFFX-r2-Sc-5.8SrRNA		AFFX-r2-Sc-5.8SrRNA_at							
AFFX-r2-Sp-18SrRNA-3_at	AFFX-r2-Sp-18SrRNA-3		AFFX-r2-Sp-18SrRNA-3_at							
AFFX-r2-Sp-18SrRNA-M_at	AFFX-r2-Sp-18SrRNA-M		AFFX-r2-Sp-18SrRNA-M_at							
AFFX-r2-Sp-18SrRNA-5_at	AFFX-r2-Sp-18SrRNA-5		AFFX-r2-Sp-18SrRNA-5_at							
AFFX-r2-Sp-28SrRNA-3_at	AFFX-r2-Sp-28SrRNA-3		AFFX-r2-Sp-28SrRNA-3_at							
AFFX-r2-Sp-28SrRNA-M_at	AFFX-r2-Sp-28SrRNA-M		AFFX-r2-Sp-28SrRNA-M_at							
AFFX-r2-Sp-28SrRNA-5_at	AFFX-r2-Sp-28SrRNA-5		AFFX-r2-Sp-28SrRNA-5_at							
AFFX-r2-Sp-5.8SrRNA_at	AFFX-r2-Sp-5.8SrRNA		AFFX-r2-Sp-5.8SrRNA_at							
AFFX-r2-Sc-TDH1-3_at	AFFX-r2-Sc-TDH1-3	IPR000173	AFFX-r2-Sc-TDH1-3_at			GO:0005829	721947A	S0003588		
AFFX-r2-Sc-TDH1-M_at	AFFX-r2-Sc-TDH1-M	IPR000173	AFFX-r2-Sc-TDH1-M_at			GO:0005811	721947A	S0003588		
AFFX-r2-Sc-TDH1-M_s_at	AFFX-r2-Sc-TDH1-M	IPR000173	AFFX-r2-Sc-TDH1-M_s_at			GO:0005829	721947A	S0003769		
AFFX-r2-Sc-TDH1-5_at	AFFX-r2-Sc-TDH1-5	IPR000173	AFFX-r2-Sc-TDH1-5_at			GO:0009277	721947A	S0003588		
AFFX-r2-Sc-WBP1-3_at	AFFX-r2-Sc-WBP1-3	IPR005013	AFFX-r2-Sc-WBP1-3_at			GO:0008250	EAK94804	S0000728		
AFFX-r2-Sc-WBP1-M_at	AFFX-r2-Sc-WBP1-M	IPR005013	AFFX-r2-Sc-WBP1-M_at			GO:0005783	EAK94804	S0000728		
AFFX-r2-Sc-WBP1-5_at	AFFX-r2-Sc-WBP1-5	IPR005013	AFFX-r2-Sc-WBP1-5_at			GO:0008250	EAK94804	S0000728		
AFFX-r2-Sc-EAF5-3_at	AFFX-r2-Sc-EAF5-3		AFFX-r2-Sc-EAF5-3_at			GO:0043189	NP_984809	S0000744		
AFFX-r2-Sc-EAF5-M_at	AFFX-r2-Sc-EAF5-M		AFFX-r2-Sc-EAF5-M_at			GO:0043189	NP_984809	S0000744		
AFFX-r2-Sc-EAF5-5_at	AFFX-r2-Sc-EAF5-5		AFFX-r2-Sc-EAF5-5_at			GO:0005634	NP_984809	S0000744		
AFFX-r2-Sc-URA3-3_at	AFFX-r2-Sc-URA3-3	IPR001754	AFFX-r2-Sc-URA3-3_at			GO:0004590	Q9HFX0	S0000747		
AFFX-r2-Sc-URA3-M_at	AFFX-r2-Sc-URA3-M	IPR001754	AFFX-r2-Sc-URA3-M_at			GO:0019856	Q9HFX0	S0000747		
AFFX-r2-Sc-URA3-5_at	AFFX-r2-Sc-URA3-5	IPR001754	AFFX-r2-Sc-URA3-5_at			GO:0019856	Q9HFX0	S0000747		
AFFX-r2-Sc-RIP1-3_at	AFFX-r2-Sc-RIP1-3	IPR004192	AFFX-r2-Sc-RIP1-3_at			GO:0009060	EAA52401	S0000750		
AFFX-r2-Sc-RIP1-M_at	AFFX-r2-Sc-RIP1-M	IPR005806	AFFX-r2-Sc-RIP1-M_at			GO:0008121	EAA52401	S0000750		
AFFX-r2-Sc-RIP1-5_at	AFFX-r2-Sc-RIP1-5	IPR005806	AFFX-r2-Sc-RIP1-5_at			GO:0005750	EAA52401	S0000750		
AFFX-r2-Sc-SRB4-3_at	AFFX-r2-Sc-SRB4-3		AFFX-r2-Sc-SRB4-3_at			GO:0016455	EAL02475	S0000824		
AFFX-r2-Sc-SRB4-M_at	AFFX-r2-Sc-SRB4-M		AFFX-r2-Sc-SRB4-M_at			GO:0000119	EAL02475	S0000824		
AFFX-r2-Sc-SRB4-5_at	AFFX-r2-Sc-SRB4-5		AFFX-r2-Sc-SRB4-5_at			GO:0000119	EAL02475	S0000824		
AFFX-r2-Sc-SPT15-3_at	AFFX-r2-Sc-SPT15-3	IPR000814	AFFX-r2-Sc-SPT15-3_at			GO:0005669	AAA79367	S0000950		
AFFX-r2-Sc-SPT15-M_at	AFFX-r2-Sc-SPT15-M	IPR000814	AFFX-r2-Sc-SPT15-M_at			GO:0005669	AAA79367	S0000950		
AFFX-r2-Sc-SPT15-5_at	AFFX-r2-Sc-SPT15-5	IPR000814	AFFX-r2-Sc-SPT15-5_at			GO:0005669	AAA79367	S0000950		
AFFX-r2-Sc-ACT1-3_at	AFFX-r2-Sc-ACT1-3	IPR004000	AFFX-r2-Sc-ACT1-3_at			GO:0030482	P14235	S0001855		
AFFX-r2-Sc-ACT1-M_at	AFFX-r2-Sc-ACT1-M	IPR004000	AFFX-r2-Sc-ACT1-M_at			GO:0006887	P14235	S0001855		
AFFX-r2-Sc-ACT1-5_at	AFFX-r2-Sc-ACT1-5	IPR004000	AFFX-r2-Sc-ACT1-5_at			GO:0030479	P14235	S0001855		
AFFX-r2-Sp-URA4-3_at	AFFX-r2-Sp-URA4-3	IPR001754	AFFX-r2-Sp-URA4-3_at							
AFFX-r2-Sp-URA4-M_at	AFFX-r2-Sp-URA4-M	IPR001754	AFFX-r2-Sp-URA4-M_at							
AFFX-r2-Sp-URA4-5_at	AFFX-r2-Sp-URA4-5	IPR001754	AFFX-r2-Sp-URA4-5_at							
