	NA	NA	Sp_ds	Sp_hs	Sp_log	Sp_plat	NA	NA
c3833_g1_i2	Q09748	GO:0000001	4.00	0.07	16.84	26.37	mitochondrion inheritance	Full=Dynamin-related protein dnm1 [Schizosaccharomyces pombe 972h-]
c4832_g1_i1	O60164	GO:0000463	24.55	116.87	220.53	28.82	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Full=Pescadillo homolog; AltName: Full=Nucleolar protein 7 homolog [Schizosaccharomyces pombe 972h-]
c5161_g1_i1	NA	NA	107.49	89.39	26.95	698.97	NA	NA
c4399_g1_i2	P36614	GO:0000790	27.91	72.57	5.56	36.58	nuclear chromatin	Full=Serine/threonine-protein phosphatase ppe1; AltName: Full=Phosphatase esp1 [Schizosaccharomyces pombe 972h-]
c5916_g1_i1	P37818	GO:0000050	82.57	19.03	48.55	258.22	urea cycle	Full=Arginase [Schizosaccharomyces pombe 972h-]
c73_g1_i1	Q9URZ2	GO:0003674	109.25	0.00	1.69	249.04	molecular_function	Full=UPF0654 protein C869.09 [Schizosaccharomyces pombe 972h-]
c2672_g1_i1	Q9UTS7	GO:0004067	26.55	88.25	296.03	20.74	asparaginase activity	Full=Probable L-asparaginase 2; AltName: Full=L-asparagine amidohydrolase 2; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4859_g1_i1	P41887	GO:0000166	863.50	8798.74	2081.02	53.46	nucleotide binding	Full=Heat shock protein 90 homolog [Schizosaccharomyces pombe 972h-]
c6085_g1_i1	O14284	GO:0003674	86.52	34.05	6.62	77.17	molecular_function	Full=Oxidation resistance protein 1; AltName: Full=Meiotically up-regulated gene 63 protein [Schizosaccharomyces pombe 972h-]
c5949_g1_i1	O94315	GO:0005634	544.55	88.38	9.00	770.03	nucleus	Full=Uncharacterized oxidoreductase C215.11c [Schizosaccharomyces pombe 972h-]
c4386_g1_i1	P40372	GO:0000027	107.79	220.35	259.27	28.43	ribosomal large subunit assembly	Full=60S ribosomal protein L3-A [Schizosaccharomyces pombe 972h-]
c196_g1_i1	Q10286	GO:0000139	72.46	18.65	64.38	174.75	Golgi membrane	Full=Myo-inositol transporter 1 [Schizosaccharomyces pombe 972h-]
c5627_g1_i1	O14400	GO:0004368	249.73	28.59	12.40	6.47	glycerol-3-phosphate dehydrogenase activity	Full=Glycerol-3-phosphate dehydrogenase, mitochondrial; Short=GPD-M; Short=GPDH-M; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c4754_g4_i2	P78831	GO:0005215	2369.93	44.61	150.75	892.83	transporter activity	Full=High-affinity glucose transporter ght5; AltName: Full=Hexose transporter 5 [Schizosaccharomyces pombe 972h-]
c181_g1_i1	P33289	GO:0000166	29.10	5.94	14.59	266.16	nucleotide binding	Full=Peroxisomal biogenesis factor 6; AltName: Full=Peroxin-6; AltName: Full=Peroxisome biosynthesis protein PAS5 [Komagataella pastoris]
c3727_g1_i1	O74777	GO:0003723	9.16	82.47	127.65	13.10	RNA binding	Full=KRR1 small subunit processome component homolog; AltName: Full=KRR-R motif-containing protein 1; AltName: Full=Ribosomal RNA assembly protein mis3 [Schizosaccharomyces pombe 972h-]
c1919_g1_i2	O60184	GO:0000122	35.91	2.91	65.65	43.84	negative regulation of transcription from RNA polymerase II promoter	Full=General transcriptional corepressor ssn6 [Schizosaccharomyces pombe 972h-]
c3618_g1_i2	O13737	GO:0003674	69.61	44.53	11.11	153.07	molecular_function	Full=Uncharacterized endoplasmic reticulum membrane protein C16E8.02 [Schizosaccharomyces pombe 972h-]
c5826_g1_i1	O13639	GO:0004013	199.51	522.24	741.82	97.39	adenosylhomocysteinase activity	Full=Adenosylhomocysteinase; Short=AdoHcyase; AltName: Full=S-adenosyl-L-homocysteine hydrolase [Schizosaccharomyces pombe 972h-]
c6226_g1_i1	O94580	GO:0005634	26.75	229.84	13.74	34.84	nucleus	Full=Ubiquitin and WLM domain-containing metalloprotease SPCC1442.07c [Schizosaccharomyces pombe 972h-]
c2796_g1_i1	O14082	GO:0005634	1442.26	1152.68	12.50	25.09	nucleus	Full=Uncharacterized protein UNK4.17 [Schizosaccharomyces pombe 972h-]
c2856_g1_i1	O60153	GO:0003674	66.56	328.39	29.93	505.78	molecular_function	Full=Uncharacterized protein C19C7.04c [Schizosaccharomyces pombe 972h-]
c3489_g1_i1	O74391	GO:0000027	111.67	466.24	367.75	38.03	ribosomal large subunit assembly	Full=60S ribosomal protein L25-B [Schizosaccharomyces pombe 972h-]
c6269_g1_i1	Q9P783	GO:0003674	9.28	50.49	143.92	8.85	molecular_function	Full=Ribosome assembly protein rrb1 [Schizosaccharomyces pombe 972h-]
c6600_g1_i1	O14044	GO:0003723	11.29	67.91	149.32	24.13	RNA binding	Full=Pre-rRNA-processing protein pno1; AltName: Full=Ribosomal RNA-processing protein 28 [Schizosaccharomyces pombe 972h-]
c1207_g1_i1	Q09912	GO:0002183	507.70	3337.65	124.36	272.22	cytoplasmic translational initiation	Full=Protein psi1; AltName: Full=Protein psi [Schizosaccharomyces pombe 972h-]
c5799_g1_i1	Q9Y7R8	GO:0003824	1349.40	838.75	131.87	4300.45	catalytic activity	Full=Malate dehydrogenase, mitochondrial; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c93_g1_i1	O94425	GO:0003674	367.79	408.65	3.11	118.68	molecular_function	Full=WW domain-containing protein C660.05 [Schizosaccharomyces pombe 972h-]
c3104_g1_i2	O94547	GO:0000166	386.60	218.24	16.24	239.29	nucleotide binding	Full=Serine/threonine-protein kinase srk1; AltName: Full=Sty1-regulated kinase 1 [Schizosaccharomyces pombe 972h-]
c5218_g1_i1	O14359	GO:0005634	531.51	1074.84	84.40	182.85	nucleus	Full=Uncharacterized AIM2 family protein C30D10.14 [Schizosaccharomyces pombe 972h-]
c3968_g1_i1	O74378	GO:0004591	304.61	117.15	63.24	589.38	oxoglutarate dehydrogenase (succinyl-transferring) activity	Full=2-oxoglutarate dehydrogenase, mitochondrial; AltName: Full=2-oxoglutarate dehydrogenase complex component E1; Short=OGDC-E1; AltName: Full=Alpha-ketoglutarate dehydrogenase; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c989_g1_i1	O14131	GO:0003824	233.66	137.53	12.59	344.19	catalytic activity	Full=Meiotically up-regulated gene 191 protein [Schizosaccharomyces pombe 972h-]
c2673_g1_i1	P87136	GO:0003674	61.98	41.10	5.90	83.73	molecular_function	Full=Uncharacterized protein C57A7.05 [Schizosaccharomyces pombe 972h-]
c5110_g1_i1	NA	NA	423.15	260.02	109.10	951.56	NA	NA
c3123_g1_i1	B5BP47	GO:0000329	14.42	4.68	55.06	3.40	fungal-type vacuole membrane	Full=Uncharacterized transporter C460.03 [Schizosaccharomyces pombe 972h-]
c1180_g1_i1	O13908	GO:0005634	55.11	26.70	1.81	42.47	nucleus	Full=Uncharacterized oxidoreductase C22A12.17c [Schizosaccharomyces pombe 972h-]
c1170_g1_i1	O59715	GO:0005783	157.25	22.91	73.92	773.19	endoplasmic reticulum	Full=Dihydroceramide delta(4)-desaturase [Schizosaccharomyces pombe 972h-]
c463_g1_i1	O59812	GO:0004345	267.81	3.72	5.84	14.06	glucose-6-phosphate dehydrogenase activity	Full=Probable glucose-6-phosphate 1-dehydrogenase C794.01c; Short=G6PD [Schizosaccharomyces pombe 972h-]
c894_g1_i1	O74492	GO:0005634	140.22	33.55	32.35	398.32	nucleus	Full=Probable 5-hydroxyisourate hydrolase; Short=HIU hydrolase; Short=HIUHase; AltName: Full=Transthyretin-like protein C285.04 [Schizosaccharomyces pombe 972h-]
c4176_g1_i1	O42654	GO:0003674	13.26	72.12	1.21	78.23	molecular_function	Full=Meiotically up-regulated gene 134 protein [Schizosaccharomyces pombe 972h-]
c3592_g2_i1	O14020	GO:0003674	132.94	69.22	8.00	141.27	molecular_function	Full=Uncharacterized protein C29A4.17c [Schizosaccharomyces pombe 972h-]
c2449_g1_i1	O94639	GO:0000006	53.16	12.58	139.66	56.72	high affinity zinc uptake transmembrane transporter activity	Full=Zinc-regulated transporter 1; AltName: Full=High-affinity zinc transport protein zrt1 [Schizosaccharomyces pombe 972h-]
c1382_g1_i1	NA	NA	0.00	1.30	1.85	48.91	NA	NA
c6118_g1_i1	O94733	GO:0003674	703.76	364.70	20.14	553.02	molecular_function	Full=Uncharacterized protein C191.01 [Schizosaccharomyces pombe 972h-]
c6221_g1_i1	NA	NA	5.85	0.00	1.96	215.17	NA	NA
c1327_g1_i2	O13947	GO:0000049	6.99	9.93	20.74	0.00	tRNA binding	Full=Mitochondrial tRNA-specific 2-thiouridylase 1 [Schizosaccharomyces pombe 972h-]
c4650_g1_i1	O14150	GO:0002181	297.72	479.66	1206.82	57.91	cytoplasmic translation	Full=40S ribosomal protein S14 [Schizosaccharomyces pombe 972h-]
c1913_g1_i1	Q9HDU5	GO:0003824	313.39	20.42	13.10	226.83	catalytic activity	Full=Galactose-1-phosphate uridylyltransferase; Short=Gal-1-P uridylyltransferase; AltName: Full=UDP-glucose--hexose-1-phosphate uridylyltransferase [Schizosaccharomyces pombe 972h-]
c92_g1_i2	O74380	GO:0003674	36.33	27.48	0.00	28.05	molecular_function	Full=Uncharacterized membrane protein C3H7.05c [Schizosaccharomyces pombe 972h-]
c6080_g1_i1	Q9URX6	GO:0002181	980.77	3626.94	2582.58	407.78	cytoplasmic translation	Full=60S ribosomal protein L31 [Schizosaccharomyces pombe 972h-]
c2435_g1_i1	O13716	GO:0005576	22.08	60.73	85.56	5.64	extracellular region	Full=Glucan endo-1,3-alpha-glucosidase agn1; AltName: Full=Endo-1,3-alpha-glucanase agn1; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c2925_g1_i2	P40899	GO:0003674	24.14	61.16	22.28	2.96	molecular_function	Full=Sexual differentiation process protein isp3; AltName: Full=Meiotic expression up-regulated protein 4 [Schizosaccharomyces pombe 972h-]
c5211_g1_i1	Q09802	GO:0003674	737.01	32.39	23.01	5883.71	molecular_function	Full=UPF0654 protein C22G7.11c [Schizosaccharomyces pombe 972h-]
c2896_g1_i1	P22189	GO:0000166	3.58	82.61	7.18	5.85	nucleotide binding	Full=Calcium-transporting ATPase 3 [Schizosaccharomyces pombe 972h-]
c1234_g1_i1	Q04800	GO:0000293	6.09	2.34	115.56	3.96	ferric-chelate reductase activity	Full=Ferric reductase transmembrane component 1; AltName: Full=Ferric-chelate reductase 1 [Schizosaccharomyces pombe 972h-]
c6198_g1_i1	O14124	GO:0004177	267.26	139.17	44.23	1043.91	aminopeptidase activity	Full=Uncharacterized dipeptidase C3A11.10c; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c353_g1_i1	Q9Y7X7	GO:0000042	930.28	839.49	21.27	474.16	protein targeting to Golgi	Full=GRIP and coiled-coil domain-containing protein C365.11 [Schizosaccharomyces pombe 972h-]
c1453_g1_i1	P04551	GO:0000086	17.94	40.88	0.00	57.87	G2/M transition of mitotic cell cycle	Full=Cyclin-dependent kinase 1; Short=CDK1; AltName: Full=Cell division control protein 2; AltName: Full=Cell division protein kinase 1; AltName: Full=p34 protein kinase [Schizosaccharomyces pombe 972h-]
c2811_g1_i2	Q09916	GO:0000166	9.93	78.40	152.12	11.27	nucleotide binding	Full=ATP-dependent RNA helicase has1 [Schizosaccharomyces pombe 972h-]
c1520_g1_i1	Q9P7E7	GO:0003674	22.55	162.08	246.38	32.09	molecular_function	Full=Protein adg1; Flags: Precursor [Schizosaccharomyces pombe 972h-]
c5786_g1_i1	O42893	GO:0003824	604.12	637.67	40.04	308.31	catalytic activity	Full=Neutral trehalase; AltName: Full=Alpha,alpha-trehalase; AltName: Full=Alpha,alpha-trehalose glucohydrolase [Schizosaccharomyces pombe 972h-]
